Url,Language,Title,Abstract
https://pubmed.ncbi.nlm.nih.gov/31484621,Chinese,Exosomes in the Pathogenesis of Rheumatoid Arthritis,"Exosomes are 30-100 nm vesicles secreted from almost all types of cells.They contain various molecular constituents,including proteins,lipids,and RNA.As important mediators of cell-to-cell communication,exosomes are involved in a variety of physiological and pathological processe …"
https://pubmed.ncbi.nlm.nih.gov/30103596,Chinese,Progress on treatment for patellofemoral arthritis,"As a common disease of knee joint disease, the diagnosis and treatment of patellofemoral arthritis has not clear clinical consensus at present, conservative treatment only has a certain value for the disease with early stage and single disease. ...Due to technical difficul …"
https://pubmed.ncbi.nlm.nih.gov/34856693,Chinese,Research progress on axial psoriatic arthritis,
https://pubmed.ncbi.nlm.nih.gov/34304458,Chinese,The role of macrophages in gout arthritis,
https://pubmed.ncbi.nlm.nih.gov/34650284,Chinese,Management algorithm for septic arthritis after anterior cruciate ligament reconstruction,"In the study, 65 of 27 867 patients experienced postoperative septic arthritis. The incidence, presentation, laboratory results, treatment, and outcome of all the infected patients were analyzed. The experiences of diagnosis and management of septic arthritis after …"
https://pubmed.ncbi.nlm.nih.gov/32987479,Chinese,Practice guidelines for patients with rheumatoid arthritis,"In recent years, the clinical guidelines for the diagnosis and treatment of rheumatoid arthritis (RA) have been constantly updated. Among the general principles, it is particularly emphasized that, in order to improve the ratio of treat to target(T2T) of RA, doctors and pa …"
https://pubmed.ncbi.nlm.nih.gov/32838507,Chinese,Diagnosis and treatment of early rheumatoid arthritis,
https://pubmed.ncbi.nlm.nih.gov/34951180,Chinese,Mechanism of oxymatrine in treatment of collageninduced arthritis in mice,"., has been widely applied in the medical field due to its anti-inflammatory, analgesic, bacteriostatic, antiviral, antitumor, and other pharmacological effects. The present study investigated the anti-rheumatoid arthritis effect of oxymatrine(OMT), the active component of …"
https://pubmed.ncbi.nlm.nih.gov/34916682,Chinese,Benefit of ultrasound in the phenotype recognition of psoriatic arthritis,"Compared with the phenotypes recognized based on physical examination only, the additional ultrasound assessment revealed that the most common phenotypes, peripheral arthritis was significantly less frequently recognized (49.8% vs. 27.8%, P < 0.001), however on the othe …"
https://pubmed.ncbi.nlm.nih.gov/29231492,Chinese,Literature study for acupoint selection rule of rheumatoid arthritis treated with acupuncture,"To explore the clinical acupoint selection rule of rheumatoid arthritis(RA) treated with acupuncture by literature analysis. The related articles were retrieved in 6 Chinese and English databases,including CNKI,VIP,WANFANG,PubMed,Medline and Cochrane. ..."
https://pubmed.ncbi.nlm.nih.gov/33047726,Chinese,Multicenter performance of the different classification criteria for rheumatoid arthritis,"Finally, 236 patients were dignosed with ERA, and 89 patients were dignosed with other diseases (Non-ERA, including osteoarthritis, reactive arthritis, undifferentiated arthritis, spondyloarthritis, etc). (2) The sensitivity of ERA criteria was 87.29%, and the speci …"
https://pubmed.ncbi.nlm.nih.gov/34581056,Chinese,Therapeutic mechanism of Psammosilene tunicoides extract on rheumatoid arthritis based on NLRP3 inflammasome,"In this study, we investigated the mechanism of crude extract of Psammosilene tunicoides(CEPT) in the treatment of rheumatoid arthritis(RA) based on the Nod-like receptor protein 3(NLRP3) inflammasome. The collagen-induced arthritis(CIA) mouse model was established. …"
https://pubmed.ncbi.nlm.nih.gov/26080821,Chinese,Analysis of clinical and imaging characteristics of infectious sacroiliac arthritis and review of literatures,"OBJECTIVE: To study the clinical and imaging characteristics of patients with infectious sacroiliac arthritis. METHOD: Twenty-one patients diagnosed with infectious sacroiliac arthritis were analyzed retrospectively between 2000 and 2014. ...Among these patients, th …"
https://pubmed.ncbi.nlm.nih.gov/34916677,Chinese,Clinical characteristics and risk factors of rheumatoid arthritis with ulcerative keratitis,"OBJECTIVE: To investigate the clinical characteristics, risk factors and prognosis of ulcerative keratitis (UK) in patients with rheumatoid arthritis (RA). METHODS: Sixteen patients with UK (the UK group) were screened among 4 773 RA patients hospitalized at Peking Univers …"
https://pubmed.ncbi.nlm.nih.gov/34779166,Chinese,Clinical classification and treatment experience of wrist gouty arthritis,"OBJECTIVE: To explore the clinical characteristics, clinical classification, and treatment of wrist gouty arthritis. METHODS: The clinical data of 24 patients with wrist gouty arthritis and complete follow-up between April 2011 and August 2020 were retrospectively a …"
https://pubmed.ncbi.nlm.nih.gov/31030723,Chinese,T follicular helper cells and their related molecules in rheumatoid arthritis A review,Abnormal T follicular helper (Tfh) cells in patients with rheumatoid arthritis (RA) is related to the occurrence and development of RA. ...
https://pubmed.ncbi.nlm.nih.gov/20450655,Chinese,The clinical characters of 30 patients with enteropathic arthritis and literature review,"OBJECTIVE: To better understand the clinical characters of enteropathic arthritis patients. METHODS: The clinical, laboratory and X-rays data of 30 enteropathic arthritis in-patients were analyzed. ...During the disease course, peripheral arthritis in 14 (54% …"
